TRIVIA EDITOR EXPORT FILE	2/24/99 3:20:55 PM	Copyright 1999 Jonathan S. Harbour

Total records	109
Subjects exported	VOYAGER	
 
HOW MANY LIGHT YEARS DISTANT IS THE DELTA QUADRANT FROM FEDERATION SPACE?	40,000
IN WHAT YEAR DID "STAR TREK: VOYAGER" FIRST BEGIN AIRING ON TELEVISION?	1995
WHAT SHIP DOES CAPTAIN KATHERINE JANEWAY COMMAND?	VOYAGER
WHAT IS CAPTAIN JANEWAY'S FIRST NAME?	KATHERINE
WHAT QUADRANT OF THE GALAXY IS THE CREW OF THE STARSHIP VOYAGER LOST, AND SEEKING THEIR WAY BACK HOME?	DELTA
IN WHAT YEAR DID "VOYAGER" BEGIN AIRING ON UPN?	1995
WHAT WAS THE NAME OF THE FIRST EPISODE OF "VOYAGER?"	CARETAKER
WHAT IS THE NAME OF THE GROUP OF FREEDOM FIGHTERS AT THE FEDERATION / CARDASSIAN BORDER?	THE MAQUIS
WHO WAS THE COMMANDER OF THE MAQUIS SHIP THAT VOYAGER CHASED THROUGH THE BADLANDS IN "CARETAKER?"	CHAKOTAY
WHO WAS THE VULCAN STARFLEET OPERATIVE ABOARD CHAKOTAY'S MAQUIS SHIP IN "CARETAKER?"	TUVOK
WHO IS THE HALF HUMAN / HALF KLINGON MAQUIS WOMAN WHO BECAME CHIEF ENGINEER ABOARD VOYAGER?	B'ELANNA TORRES
WHO WERE THE HOSTILE ALIENS THAT ATTACKED JANEWAY AND CHAKOTAY IN "CARETAKER?"	KAZON
WHO IS THE CAPTAIN OF THE STARSHIP VOYAGER?	KATHRYN JANEWAY
WHO PLAYED THE PART OF KATHRYN JANEWAY, THE CAPTAIN OF VOYAGER?	KATE MULGREW
WHO IS SECOND IN COMMAND OF THE STARSHIP VOYAGER?	CHAKOTAY
WHO PLAYED THE PART OF CHAKOTAY, SECOND IN COMMAND OF THE STARSHIP VOYAGER?	ROBERT BELTRAN
WHO IS THE CHIEF ENGINEER OF THE STARSHIP VOYAGER?	B'ELANNA TORRES
WHO PLAYED THE PART OF B'ELANNA TORRES, CHIEF ENGINEER OF THE STARSHIP VOYAGER?	ROXANN BIGGS-DAWSON
WHO PLAYED THE PART OF "KES" ON VOYAGER?	JENNIFER LIEN
WHO PLAYED THE PART OF TOM PARIS, THE HELMSMAN OF THE STARSHIP VOYAGER?	ROBERT DUNCAN MCNEILL
WHO PLAYED THE PART OF THE ENIGMATIC CHEF "NEELIX" ON VOYAGER?	ETHAN PHILLIPS
WHO PLAYED THE PART OF THE HOLOGRAPHIC DOCTOR ON VOYAGER?	ROBERT PICARDO
WHO PLAYED THE PART OF TUVOK, THE VULCAN CHIEF OF SECURITY ON VOYAGER?	TIM RUSS
WHO IS THE CHIEF OF SECURITY ON VOYAGER?	TUVOK
WHO IS THE HELMSMAN ON VOYAGER?	TOM PARIS
WHO PLAYED THE PART OF HARRY KIM ON VOYAGER?	GARRETT WANG
WHO WAS CAST THE PART OF CAPTAIN JANEWAY WITHOUT AN AUDITION, WHO RESIGNED FROM THE SHOW THREE DAYS INTO FILMING THE PILOT?	GENEVIEVE BUJOLD
WHEN DID FILMING BEGIN ON THE PILOT EPISODE FOR VOYAGER CALLED "CARETAKER?"	OCTOBER 8, 1994
WHAT CHARACTER DOES JERI RYAN PLAY ON VOYAGER?	SEVEN
FROM WHAT ALIEN RACE DID VOYAGER "RESCUE" THE CHARACTER NAMED "7 OF 9" PLAYED BY JERI LYNN RYAN?	BORG
WHO PLAYED THE CHARACTER "SEVEN" (FORMERLY CALLED "7 OF 9") ON VOYAGER?	JERI RYAN
TRUE OR FALSE: JADZIA DAX OF DEEP SPACE 9 WAS INSTRUMENTAL IN REHABILITATING SEVEN AFTER SHE WAS RESCUED FROM THE BORG?	FALSE
WHAT IS JERI "SEVEN" RYAN'S MIDDLE NAME?	LYNN
WHEN JERI RYAN ("SEVEN") FIRST APPEARED ON VOYAGER IN THE 1997-98 SEASON, HOW OLD WAS THIS ACTRESS?	29
WHO PLAYED THE CHARACTER OF JADZIA DAX, SCIENCE OFFICER ON DEEP SPACE NINE?	TERRY FARRELL
WHO MADE HER TV DEBUT IN THE 1984 NIGHTTIME SOAP "PAPER DOLLS?"	TERRY FARRELL
HAS JERI RYAN EVER PARTICIPATED IN THE MISS AMERICA PAGEANT?	YES
WHAT IS JERI RYAN'S MAIDEN NAME?	ZIMMERMANN
WHEN WAS JERI RYAN ("SEVEN") BORN?	FEBRUARY 22, 1968
WHERE WAS JERI RYAN BORN?	MUNICH, GERMANY
WHICH VOYAGER EPISODE INTRODUCED JERI RYAN AS "7 OF 9," THE BORG FEMALE WHO WOULD BECOME A PART OF THE CREW?	SCORPION
IN WHICH VOYAGER EPISODE DID KES (JENNIFER LIEN) LEAVE THE SHOW?	THE GIFT
WHEN DID THE VOYAGER EPISODE "THE GIFT" FIRST AIR ON TELEVISION?	SEPTEMBER 10, 1997
WHICH VOYAGER EPISODE FIRST AIRED ON SEPTEMBER 3, 1997 (THE BEGINNING OF THE FOURTH SEASON)?	SCORPION
DURING WHICH SEASON OF VOYAGER DID "7 OF 9" (JERI RYAN) MAKE HER DEBUT?	FOURTH
FROM WHAT RACE DID VOYAGER RESCUE "7 OF 9" (JERI RYAN)?	BORG
WHICH FOURTH SEASON VOYAGER EPISODE FEATURED PARIS AND TORRES FLOATING IN SPACE?	DAY OF HONOR
WHICH VOYAGER EPISODE AIRED ON SEPTEMBER 17, 1997?	DAY OF HONOR
